date,/SRAU3,dd,mm,yyyy
2021-02-23,99.54,23,2,2021
2021-02-22,99.535,22,2,2021
2021-02-19,99.57,19,2,2021
2021-02-18,99.595,18,2,2021
2021-02-17,99.58,17,2,2021
2021-02-16,99.58,16,2,2021
2021-02-12,99.655,12,2,2021
2021-02-11,99.675,11,2,2021
2021-02-10,99.685,10,2,2021
2021-02-09,99.67,9,2,2021
2021-02-08,99.66,8,2,2021
2021-02-05,99.68,5,2,2021
2021-02-04,99.685,4,2,2021
2021-02-03,99.69,3,2,2021
2021-02-02,99.705,2,2,2021
2021-02-01,99.72,1,2,2021
2021-01-29,99.715,29,1,2021
2021-01-28,99.72,28,1,2021
2021-01-27,99.74,27,1,2021
2021-01-26,99.725,26,1,2021
2021-01-25,99.73,25,1,2021
2021-01-22,99.715,22,1,2021
2021-01-21,99.71,21,1,2021
2021-01-20,99.72,20,1,2021
2021-01-19,99.72,19,1,2021
2021-01-15,99.71,15,1,2021
2021-01-14,99.7,14,1,2021
2021-01-13,99.68,13,1,2021
2021-01-12,99.655,12,1,2021
2021-01-11,99.655,11,1,2021
2021-01-08,99.66,8,1,2021
2021-01-07,99.695,7,1,2021
2021-01-06,99.755,6,1,2021
2021-01-05,99.795,5,1,2021
2021-01-04,99.805,4,1,2021
2020-12-31,99.795,31,12,2020
2020-12-30,99.785,30,12,2020
2020-12-29,99.775,29,12,2020
2020-12-28,99.77,28,12,2020
2020-12-24,99.775,24,12,2020
2020-12-23,99.775,23,12,2020
2020-12-22,99.78,22,12,2020
2020-12-21,99.775,21,12,2020
2020-12-18,99.775,18,12,2020
2020-12-17,99.775,17,12,2020
2020-12-16,99.785,16,12,2020
2020-12-15,99.79,15,12,2020
2020-12-14,99.79,14,12,2020
2020-12-11,99.79,11,12,2020
2020-12-10,99.775,10,12,2020
2020-12-09,99.755,9,12,2020
2020-12-08,99.76,8,12,2020
2020-12-07,99.76,7,12,2020
2020-12-04,99.74,4,12,2020
2020-12-03,99.755,3,12,2020
2020-12-02,99.76,2,12,2020
2020-12-01,99.76,1,12,2020
2020-11-30,99.785,30,11,2020
2020-11-27,99.79,27,11,2020
2020-11-25,99.785,25,11,2020
2020-11-24,99.78,24,11,2020
2020-11-23,99.775,23,11,2020
2020-11-20,99.79,20,11,2020
2020-11-19,99.785,19,11,2020
2020-11-18,99.785,18,11,2020
2020-11-17,99.79,17,11,2020
2020-11-16,99.78,16,11,2020
2020-11-13,99.78,13,11,2020
2020-11-12,99.775,12,11,2020
2020-11-11,99.755,11,11,2020
2020-11-10,99.755,10,11,2020
2020-11-09,99.79,9,11,2020
2020-11-06,99.835,6,11,2020
2020-11-05,99.84,5,11,2020
