sep=,
"Date","Open(Q.SR1M)","High(Q.SR1M)","Low(Q.SR1M)","Last(Q.SR1M)"
"13/8/2021","","","","0.047"
"16/8/2021","","","","0.0488"
"17/8/2021","","","","0.0513"
"18/8/2021","","","","0.0466"
"19/8/2021","","","","0.0484"
"20/8/2021","","","","0.0482"
"23/8/2021","","","","0.0474"
"24/8/2021","","","","0.0484"
"25/8/2021","","","","0.045"
"26/8/2021","","","","0.0503"
"27/8/2021","","","","0.052"
"30/8/2021","","","","0.0479"
"31/8/2021","","","","0.0488"
"1/9/2021","","","","0.0486"
"2/9/2021","","","","0.0491"
"3/9/2021","","","","0.0511"
"7/9/2021","","","","0.0518"
"8/9/2021","","","","0.052"
"9/9/2021","","","","0.0521"
"10/9/2021","","","","0.0519"
"13/9/2021","","","","0.0523"
"14/9/2021","","","","0.0517"
"15/9/2021","","","","0.0525"
"16/9/2021","","","","0.0547"
"17/9/2021","","","","0.0569"
"20/9/2021","","","","0.0574"
"21/9/2021","","","","0.0559"
"22/9/2021","","","","0.0568"
"23/9/2021","","","","0.0542"
"24/9/2021","","","","0.0559"
"27/9/2021","","","","0.0569"
"28/9/2021","","","","0.0566"
"29/9/2021","","","","0.0603"
"30/9/2021","","","","0.0578"
"1/10/2021","","","","0.05485"
"4/10/2021","","","","0.05831"
"5/10/2021","","","","0.05781"
"6/10/2021","","","","0.05884"
"7/10/2021","","","","0.05565"
"8/10/2021","","","","0.05415"
"12/10/2021","","","","0.05267"
"13/10/2021","","","","0.05234"
"14/10/2021","","","","0.05243"
"15/10/2021","","","","0.0529"
"18/10/2021","","","","0.05269"
"19/10/2021","","","","0.05003"
"20/10/2021","","","","0.04837"
"21/10/2021","","","","0.04213"
"22/10/2021","","","","0.04351"
"25/10/2021","","","","0.04343"
"26/10/2021","","","","0.04538"
"27/10/2021","","","","0.04227"
"28/10/2021","","","","0.04345"
"29/10/2021","","","","0.04323"
"1/11/2021","","","","0.0436"
"2/11/2021","","","","0.04234"
"3/11/2021","","","","0.04145"
"4/11/2021","","","","0.04205"
"5/11/2021","","","","0.04314"
"8/11/2021","","","","0.04266"
"9/11/2021","","","","0.04341"
"10/11/2021","","","","0.0434"
"11/11/2021","","","","0.0434"
"12/11/2021","","","","0.04484"
"15/11/2021","","","","0.04428"
"16/11/2021","","","","0.0442"
"17/11/2021","","","","0.04562"
"18/11/2021","","","","0.04745"
"19/11/2021","","","","0.04696"
"22/11/2021","","","","0.04743"
"23/11/2021","","","","0.04746"
"24/11/2021","","","","0.05037"
"26/11/2021","","","","0.05137"
"29/11/2021","","","","0.05169"
"30/11/2021","","","","0.05104"
"1/12/2021","","","","0.05144"
"2/12/2021","","","","0.05234"
"3/12/2021","","","","0.05234"
"6/12/2021","","","","0.0516"
"7/12/2021","","","","0.05304"
"8/12/2021","","","","0.05268"
"9/12/2021","","","","0.05215"
"10/12/2021","","","","0.05285"
"13/12/2021","","","","0.05255"
"14/12/2021","","","","0.05565"
"15/12/2021","","","","0.06124"
"16/12/2021","","","","0.05885"
"17/12/2021","","","","0.05471"
"20/12/2021","","","","0.05326"
"21/12/2021","","","","0.05276"
"22/12/2021","","","","0.05157"
"23/12/2021","","","","0.05141"
"27/12/2021","","","","0.0523"
"28/12/2021","","","","0.05307"
"29/12/2021","","","","0.05145"
"30/12/2021","","","","0.05269"
"31/12/2021","","","","0.05463"
"3/1/2022","","","","0.05573"
"4/1/2022","","","","0.05497"
"5/1/2022","","","","0.05386"
"6/1/2022","","","","0.05548"
"7/1/2022","","","","0.05786"
"10/1/2022","","","","0.0595"
"11/1/2022","","","","0.06345"
"12/1/2022","","","","0.05936"
"13/1/2022","","","","0.05835"
"14/1/2022","","","","0.05605"
"18/1/2022","","","","0.05724"
"19/1/2022","","","","0.06027"
"20/1/2022","","","","0.06287"
"21/1/2022","","","","0.06112"
"24/1/2022","","","","0.05883"
"25/1/2022","","","","0.0586"
"26/1/2022","","","","0.05803"
"27/1/2022","","","","0.05603"
"28/1/2022","","","","0.0506"
"31/1/2022","","","","0.04799"
"1/2/2022","","","","0.04993"
"2/2/2022","","","","0.05014"
"3/2/2022","","","","0.04951"
"4/2/2022","","","","0.04898"
"7/2/2022","","","","0.05409"
"8/2/2022","","","","0.05853"
"9/2/2022","","","","0.05678"
"10/2/2022","","","","0.05705"
"11/2/2022","","","","0.09919"
"14/2/2022","","","","0.09452"
"15/2/2022","","","","0.07092"
"16/2/2022","","","","0.08029"
"17/2/2022","","","","0.13254"
"18/2/2022","","","","0.13149"
"22/2/2022","","","","0.14032"
"23/2/2022","","","","0.15426"
"24/2/2022","","","","0.19041"
"25/2/2022","","","","0.19497"
"28/2/2022","","","","0.22257"
"1/3/2022","","","","0.22096"
"2/3/2022","","","","0.21763"
"3/3/2022","","","","0.24419"
"4/3/2022","","","","0.24395"
"7/3/2022","","","","0.25373"
"8/3/2022","","","","0.26203"
"9/3/2022","","","","0.26859"
"10/3/2022","","","","0.29832"
"11/3/2022","","","","0.30116"
"14/3/2022","","","","0.30427"
"15/3/2022","","","","0.32857"
"16/3/2022","","","","0.33498"
"17/3/2022","","","","0.32979"
"18/3/2022","","","","0.30658"
"21/3/2022","","","","0.30597"
"22/3/2022","","","","0.3121"
"23/3/2022","","","","0.31668"
"24/3/2022","","","","0.30994"
"25/3/2022","","","","0.30404"
"28/3/2022","","","","0.30654"
"29/3/2022","","","","0.31258"
"30/3/2022","","","","0.30552"
"31/3/2022","","","","0.3024"
"1/4/2022","","","","0.29328"
"4/4/2022","","","","0.31046"
"5/4/2022","","","","0.35848"
"6/4/2022","","","","0.36501"
"7/4/2022","","","","0.39847"
"8/4/2022","","","","0.41411"
"11/4/2022","","","","0.43335"
"12/4/2022","","","","0.47276"
"13/4/2022","","","","0.50897"
"14/4/2022","","","","0.52189"
"18/4/2022","","","","0.53989"
"19/4/2022","","","","0.5711"
"20/4/2022","","","","0.58044"
"21/4/2022","","","","0.62361"
"22/4/2022","","","","0.64601"
"25/4/2022","","","","0.66877"
"26/4/2022","","","","0.6882"
"27/4/2022","","","","0.70036"
"28/4/2022","","","","0.74163"
"29/4/2022","","","","0.7663"
"2/5/2022","","","","0.79459"
"3/5/2022","","","","0.81083"
"4/5/2022","","","","0.80766"
"5/5/2022","","","","0.798"
"6/5/2022","","","","0.78986"
"9/5/2022","","","","0.78778"
"10/5/2022","","","","0.78694"
"11/5/2022","","","","0.78385"
"12/5/2022","","","","0.78165"
"13/5/2022","","","","0.79597"
"16/5/2022","","","","0.86276"
"17/5/2022","","","","0.86444"
"18/5/2022","","","","0.87161"
"19/5/2022","","","","0.90767"
"20/5/2022","","","","0.92242"
